---------------------
Round 0
---------------------
Training Points - 4000
Test Accuracy - 87.74
Training
Epoch:2- training accuracy:0.1645- training loss:tensor(2.3126, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:3- training accuracy:0.272- training loss:tensor(2.0121, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:4- training accuracy:0.40175- training loss:tensor(1.3005, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:5- training accuracy:0.536- training loss:tensor(1.1873, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:6- training accuracy:0.64525- training loss:tensor(0.7949, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:7- training accuracy:0.72525- training loss:tensor(0.5242, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:8- training accuracy:0.775- training loss:tensor(0.3590, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:9- training accuracy:0.7985- training loss:tensor(0.4138, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:10- training accuracy:0.8195- training loss:tensor(1.0530, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:11- training accuracy:0.835- training loss:tensor(0.5064, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:12- training accuracy:0.84- training loss:tensor(0.4348, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:13- training accuracy:0.86525- training loss:tensor(0.5397, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:14- training accuracy:0.8655- training loss:tensor(0.5048, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:15- training accuracy:0.8785- training loss:tensor(0.2863, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:16- training accuracy:0.88125- training loss:tensor(0.3475, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:17- training accuracy:0.891- training loss:tensor(0.2202, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:18- training accuracy:0.889- training loss:tensor(0.3618, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:19- training accuracy:0.901- training loss:tensor(0.1500, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:20- training accuracy:0.913- training loss:tensor(0.2032, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:21- training accuracy:0.912- training loss:tensor(0.6191, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:22- training accuracy:0.9155- training loss:tensor(0.5971, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:23- training accuracy:0.9125- training loss:tensor(0.2251, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:24- training accuracy:0.9185- training loss:tensor(0.2499, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:25- training accuracy:0.93275- training loss:tensor(0.4547, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:26- training accuracy:0.9275- training loss:tensor(0.2958, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:27- training accuracy:0.932- training loss:tensor(0.1020, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:28- training accuracy:0.933- training loss:tensor(0.2350, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:29- training accuracy:0.9315- training loss:tensor(0.5011, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:30- training accuracy:0.94225- training loss:tensor(0.1025, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:31- training accuracy:0.9475- training loss:tensor(0.1360, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:32- training accuracy:0.94975- training loss:tensor(0.0943, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:33- training accuracy:0.9555- training loss:tensor(0.1905, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:34- training accuracy:0.95125- training loss:tensor(0.2973, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:35- training accuracy:0.95025- training loss:tensor(0.2983, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:36- training accuracy:0.94925- training loss:tensor(0.1302, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:37- training accuracy:0.95975- training loss:tensor(0.1397, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:38- training accuracy:0.96075- training loss:tensor(0.1150, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:39- training accuracy:0.96325- training loss:tensor(0.2176, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:40- training accuracy:0.96725- training loss:tensor(0.0473, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:41- training accuracy:0.9705- training loss:tensor(0.0114, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:42- training accuracy:0.96975- training loss:tensor(0.0386, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:43- training accuracy:0.9745- training loss:tensor(0.0133, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:44- training accuracy:0.9745- training loss:tensor(0.0347, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:45- training accuracy:0.9765- training loss:tensor(0.0738, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:46- training accuracy:0.976- training loss:tensor(0.3032, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:47- training accuracy:0.97625- training loss:tensor(0.0138, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:48- training accuracy:0.9835- training loss:tensor(0.0250, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:49- training accuracy:0.98025- training loss:tensor(0.2207, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:50- training accuracy:0.98- training loss:tensor(0.0142, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:51- training accuracy:0.98325- training loss:tensor(0.2410, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:52- training accuracy:0.981- training loss:tensor(0.0392, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:53- training accuracy:0.9865- training loss:tensor(0.0673, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:54- training accuracy:0.9815- training loss:tensor(0.0961, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:55- training accuracy:0.98625- training loss:tensor(0.0200, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:56- training accuracy:0.9905- training loss:tensor(0.0179, device='cuda:0', grad_fn=<NllLossBackward0>)
---------------------
Round 0
---------------------
Training Points - 4000
Test Accuracy - 86.58
Training
Epoch:2- training accuracy:0.15125- training loss:tensor(2.4119, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:3- training accuracy:0.30125- training loss:tensor(1.4679, device='cuda:0', grad_fn=<NllLossBackward0>)
Epoch:4- training accuracy:0.44625- training loss:tensor(1.6029, device='cuda:0', grad_fn=<NllLossBackward0>)
